Danceability,Energy,Popularity,Loudness,Tempo
0.418,0.249,69,-13.744,82.803
0.321,0.511,60,-7.77,128.98
0.541,0.899,58,-6.261,106.676
0.84,0.835,64,-4.386,103.376
0.573,0.665,53,-5.081,105.006
0.697,0.925,56,-4.209,96.951
0.55,0.804,68,-5.218,79.166
0.836,0.762,46,-5.044,133.592
0.676,0.715,0,-6.854,129.006
0.753,0.934,65,-3.011,113.525
0.747,0.706,66,-4.653,94.019
0.874,0.768,64,-4.086,106.095
0.73,0.602,65,-3.782,97.954
0.847,0.877,54,-5.424,131.044
0.708,0.587,66,-7.93,83.46
0.569,0.385,0,-9.919,99.738
0.607,0.637,51,-11.072,137.03
0.469,0.316,48,-8.106,77.967
0.713,0.829,0,-4.171,126.853
0.623,0.896,54,-4.719,95.158
0.558,0.481,60,-9.487,144.673
0.85,0.7,75,-6.49,101.875
0.933,0.561,59,-5.961,139.976
0.33,0.905,68,-5.047,163.142
0.618,0.844,63,-4.051,84.411
0.51,0.48,69,-6.567,182.862
0.743,0.894,56,-6.886,95.9
0.68,0.644,30,-4.507,116.097
0.509,0.774,64,-4.054,116.529
0.721,0.723,56,-7.08,88.933
0.562,0.594,65,-4.578,62.876
0.699,0.403,45,-8.564,113.922
0.537,0.858,61,-4.903,124.599
0.727,0.552,77,-8.074,168.189
0.908,0.669,87,-2.827,112.238
0.585,0.776,78,-5.898,77.987
0.56,0.825,75,-3.862,94.931
0.558,0.719,72,-5.113,112.027
0.616,0.597,64,-5.328,165.508
0.729,0.731,27,-4.822,138.202
0.701,0.677,58,-6.591,99.271
0.648,0.759,68,-4.315,85.996
0.548,0.847,85,-3.237,171.447
0.713,0.471,69,-7.392,199.764
0.955,0.839,60,-3.399,108.955
0.792,0.797,53,-5.166,123.993
0.718,0.69,53,-4.382,93.401
0.583,0.643,40,-7.486,195.685
0.556,0.864,83,-5.87,105.143
0.607,0.923,66,-6.777,184.819
0.641,0.72,0,-5.209,92.988
0.705,0.717,54,-4.944,97.036
0.74,0.845,59,-3.802,126.607
0.622,0.876,60,-7.779,142.017
0.686,0.698,43,-2.942,93.118
0.427,0.843,66,-4.54,147.387
0.682,0.894,61,-1.73,95.992
0.527,0.933,46,-6.277,144.043
0.969,0.701,49,-7.503,121.392
0.646,0.638,42,-5.803,86.994
0.611,0.654,52,-4.823,105.922
0.683,0.722,60,-4.039,95.012
0.697,0.793,55,-4.699,89.767
0.574,0.691,59,-5.103,91.969
0.486,0.904,47,-6.642,143.048
0.723,0.84,58,-3.523,94.332
0.777,0.751,59,-5.692,177.894
0.859,0.625,59,-4.234,102.072
0.66,0.536,64,-8.786,159.963
0.761,0.662,55,-7.645,120.043
0.956,0.745,75,-4.753,107.075
0.7,0.72,53,-6.061,106.986
0.64,0.889,68,-3.073,99.931
0.855,0.681,49,-4.955,99.699
0.517,0.919,45,-3.451,91.868
0.786,0.853,48,-8.274,126.99
0.835,0.707,73,-5.074,93.955
0.786,0.614,43,-6.554,103.887
0.771,0.665,26,-3.954,115.142
0.668,0.806,2,-3.9,95.022
0.618,0.938,80,-3.442,91.455
0.412,0.77,58,-6.057,101.955
0.778,0.761,59,-5.529,107.288
0.489,0.757,53,-4.062,168.004
0.64,0.59,47,-7.442,83.133
0.603,0.774,55,-6.066,124.994
0.791,0.863,58,-6.118,97.035
0.368,0.426,35,-8.049,106.52
0.66,0.707,63,-5.758,89.279
0.783,0.726,45,-8.718,148.062
0.705,0.872,24,-3.557,93.63
0.567,0.58,55,-5.757,157.596
0.734,0.848,62,-5.285,117.31
0.853,0.811,62,-4.927,114.964
0.412,0.667,32,-6.997,68.942
0.519,0.874,53,-5.122,96.072
0.908,0.758,71,-4.753,148.015
0.727,0.515,61,-6.553,89.488
0.542,0.589,54,-6.813,133.838
0.802,0.903,68,-3.267,128.93
0.652,0.41,52,-8.323,75.09
0.838,0.764,56,-5.076,133.592
0.577,0.749,79,-7.215,130.97
